index;categoria;contagem;percentual
0;Sinalização - Vertical;2019;0.21048790658882402
1;Redutor de velocidade - Lombada;1009;0.10519182652210175
2;Sinalização - Horizontal;890;0.09278565471226022
3;Semáforo;872;0.09090909090909091
4;Passeio público;817;0.08517514595496246
5;Melhorias viárias;801;0.0835070892410342
6;Sinalização - Faixa de pedestres;451;0.047018348623853214
7;Barreiras físicas;441;0.04597581317764804
8;Redutor de velocidade - Radar;436;0.045454545454545456
9;Vagas especiais;434;0.04524603836530442
10;Pavimentação;420;0.043786488740617184
11;Acessibilidade - Rampa;361;0.037635529608006674
12;Redutor de velocidade - Travessia elevada;356;0.03711426188490409
13;Alteração de sentido;332;0.03461217681401168
14;Área escolar;279;0.02908673894912427
15;Ciclovias e similares;187;0.0194954128440367
16;Urbanização de vielas;165;0.017201834862385322
17;Rebaixamento de guia;120;0.012510425354462052
18;Passeio Público - Auto de Infração;86;0.00896580483736447
19;Recursos de multas;67;0.006984987489574645
20;Corredor de ônibus;32;0.003336113427856547
21;Monitoramento por câmera;28;0.0029190992493744786
22;Ciclovias - Paraciclos e bicicletários;26;0.0027105921601334446
23;Passeio Público - Habite-se;18;0.0018765638031693077
24;Drenagem;16;0.0016680567139282735
25;Passarela;11;0.0011467889908256881
26;POT - Programa de Orientação de Tráfego;6;0.0006255212677231026
27;Certidão de sinalização;6;0.0006255212677231026
28;Acessibilidade - Piso tátil;4;0.0004170141784820684
29;Sinalização - Horizonta;2;0.0002085070892410342
30;Urbanismo tático;2;0.0002085070892410342
