id;solicitacao;Sinalização - Vertical;Redutor de velocidade - Lombada;Sinalização - Horizontal;Semáforo;Passeio público;Melhorias viárias;Sinalização - Faixa de pedestres;Barreiras físicas;Redutor de velocidade - Radar;Vagas especiais;Pavimentação;Acessibilidade - Rampa;Redutor de velocidade - Travessia elevada;Alteração de sentido;Área escolar;Ciclovias e similares;Urbanização de vielas;Rebaixamento de guia
6801;RECLAMA QUE A VEREADORA DULCE MARIA FOI NO BAIRRO E PROMETEU CALÇAMENTO E REBAIXAMENTO DE GUIA PARA OS CADEIRANTES, COMECARAM CALÇAMENTO E REBAIXAMENTO DA GUIA SOMENTE AONDE FICA PASSARELA DE TRAVESSIA DE PEDESTRE E NA RUA 1 E 5, ELE RECLAMA QUE QUANDO FIZERAM ESSE CALÇAMENTO AO LADO DA ESCOLA APOIS A PASSARELA PARA S CRIANÇAS NAO PISAR NO BARRO UM CAMINHAO ,DRAGA,QUE LIMPOU RIO FOI E JA DESTRUIU CALÇAMENTO NOVO E NAO ARRUMARAM ALEM DE NAO FINAÇIZAR E O CALÇAMENTO E REBAIXAMENTO DE GUIA DA DEMAIS RUAS PROMETIDO;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0
6807;SOLICITA QUE A SECRETÁRIA RESPONSÁVEL VERIFIQUE SE É POSSÍVEL TRANSFORMAR A VIELA DO ENDEREÇO CITADO EM RUA, TENDO EM VISTA QUE O LOCAL PRECISA DE PAVIMENTAÇÃO DEVIDO A ALTA MOVIMENTAÇÃO DE PEDESTRES, CARROS E MOTOS E A SECRETÁRIA DE MANUTENÇÃO DA CIDADE NÃO REALIZA A PAVIMENTAÇÃO DE VIELAS. ESSE PROTOCOLO POSSUI IMAGENS.;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0
6808;RECLAMA QUE NA RUA CARAVELAS VAIFICAR MÃO ÚNICA E A MUNÍCIPE NÃO ACHA CERTO,ALEGA QUE NA SUA RUA JÁ TEM MUITO MOVIMENTO E AGORA SENDO MÃO ÚNICA VAI DIFICULTAR MUITO A VIDA DELA.INFORMA QUE ESSE TIPOS DE PROJETO DEVERIA SER PERGUNTADO PARA OS MORADORES PARA SABER A OPINIÃO DE CADA UM.;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0
6809;RECLAMA QUE ESTÁ QUASE IMPOSSÍVEL ACESSAR O BAIRRO JARDIM ORIENTE NOS HORÁRIOS DE PICO E EM QUALQUER HORÁRIO AGORA COM A COLOCAÇÃO DESSE SEMÁFORO DA LINHA VERDE, CONSEQUENTEMENTE OS SEMÁFOROS DA AV. PARAÍSO E DA MAR DEL PLATA NAQUELE POSTO DA PETROBRAS ESTÁ TRAVANDO, OS CARROS FECHAM AS VIAS E NINGUÉM ANDA. POR FAVOR PREFEITURA, TENTEM RESOLVER ESSE PROBLEMA PRÓXIMO AO SHOPPING ORIENTE.;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
6810;RECLAMA QUE ESTÁ QUASE IMPOSSÍVEL ACESSAR O BAIRRO JARDIM ORIENTE NOS HORÁRIOS DE PICO E EM QUALQUER HORÁRIO AGORA COM A COLOCAÇÃO DESSE SEMÁFORO DA LINHA VERDE, CONSEQUENTEMENTE OS SEMÁFOROS DA AV. PARAÍSO E DA MAR DEL PLATA NAQUELE POSTO DA PETROBRAS ESTÁ TRAVANDO, OS CARROS FECHAM AS VIAS E NINGUÉM ANDA. POR FAVOR PREFEITURA, TENTEM RESOLVER ESSE PROBLEMA PRÓXIMO AO SHOPPING ORIENTE.;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
6811;SOLICITAR IMPLANTAÇÃO DE SEMÁFORO DE PEDESTRE NO CRUZAMENTO DA RUA PENEDO COM A ICATU E A SENA MADUREIRA, POIS TEM UMA GRANDE MOVIMENTAÇÃO DE PEDESTRE NESTE LOCAL E NOS COMO PEDESTRE NÃO TEMOS SEGURANÇA NENHUMA AO ATRAVESSAR ESTE CRUZAMENTO.;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6102;"Desta forma, a fim de atender à necessidade dos munícipes, solicito estudos técnicos viabilizando melhorias para manobrar o ônibus da linha 201, Bairrinho no ponto final.

A solicitação se faz necessária, tendo em vista relato de passageiros e munícipes que para a manobra ser realizada com sucesso os passageiros devem deixar o transporte público, por se tratar de uma rua íngreme, causando transtornos e riscos de acidentes.
";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
6813;SOLICITA PLACA DE PROIBIDO PARAR E ESTACIONAR NO LOCAL, POIS NO LOCAL ESTACIONAM CAMINHÕES E A RUA É SEM SAÍDA, DIFICULTANDO A MANOBRA DE VEÍCULOS, INCLUSIVE DO CAMINHÃO DE LIXO.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6814;SOLICITA FISCALIZAÇÃO DO AGENTE, INFORMA QUE DURANTE A SEMANA DIA SIM E DIA NÃO, RESPONSÁVEL PELA FISCALIZAÇÃO DE TRÂNSITO CHEGA POR VOLTA DAS 08:30 COLOCA O RADAR PARA FORA, DEIXA O CARRO LIGADO ENCOSTA O BANCO E FICA ALI DEITADO MEXENDO NO CELULAR O DIA TODO.TODO MUNDO QUE PASSA POR ALI JA SABE ONDE ELE FICA , NEM TROCA DE LOCAL.MUITO DINHEIRO GASTO PRA FUNCIONÁRIO FICAR ASSIM O DIA TODO E GASTANDO GASOLINA. ESTE PROTOCOLO CONTÉM IMAGENS.;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
6815;SOLICITA APURAÇÃO NA MANUTENÇÃO DA LOMBADA ELETRÔNICA LOCALIZADA NA AVENIDA LINEU DE MORA , EM FRENTE AO MOPPE;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
